id;type;x;y;extrapolate
0x000002307FC37748;char_line;[0.0, 0.02476, 0.08114, 0.167, 0.28023, 0.41869, 0.58027, 0.76284, 0.96428, 1.0, 1.18245, 1.41525, 1.66053, 1.91619, 2.18009, 2.4501, 2.72412, 3.0];[0.01, 0.19836, 0.37181, 0.52217, 0.65124, 0.76085, 0.8528, 0.92891, 0.99099, 1.0, 1.04084, 1.0803, 1.11116, 1.13524, 1.15435, 1.1703, 1.18492, 1.2];False
0x000002307FC37B88;char_line;[0.0, 0.10449, 0.23774, 0.40054, 0.59243, 0.81296, 1.0, 1.0617, 1.33818, 1.64196, 1.97259, 2.32963, 2.71261, 3.0012];[0.01, 0.21181, 0.40637, 0.58484, 0.74792, 0.89627, 1.0, 1.03058, 1.15152, 1.25977, 1.35602, 1.44093, 1.51519, 1.562];False
0x000002307FC50748;char_line;[0.0, 1.0];[1.0, 1.0];False
0x000002307FC3D4C8;char_line;[0.071, 0.282, 0.635, 0.776, 0.917, 1.0, 1.128, 1.27, 1.41, 1.763, 2.115, 2.5];[0.25, 0.547, 0.9, 0.965, 0.995, 1.0, 0.99, 0.959, 0.911, 0.737, 0.519, 0.25];False
0x000002307FC3DDC8;char_line;[0.0, 1.0];[1.0, 1.0];False
0x000002307FC48708;char_line;[0.0, 0.01084, 0.03655, 0.07779, 0.13389, 0.20417, 0.28796, 0.38458, 0.49337, 0.61364, 0.74473, 0.88595, 1.0, 1.19613, 1.36374, 1.53879, 1.72061, 1.90854, 2.10189, 2.29999, 2.50217, 2.70776, 2.91608, 3.0];[0.01, 0.09598, 0.18995, 0.28191, 0.37185, 0.45974, 0.54557, 0.62932, 0.71098, 0.79053, 0.86796, 0.94324, 1.0, 1.0873, 1.15605, 1.22259, 1.28691, 1.34898, 1.40879, 1.46633, 1.52157, 1.5745, 1.62511, 1.645];False
0x000002307FC41608;char_line;[0.0, 0.01084, 0.03655, 0.07779, 0.13389, 0.20417, 0.28796, 0.38458, 0.49337, 0.61364, 0.74473, 0.88595, 1.0, 1.19613, 1.36374, 1.53879, 1.72061, 1.90854, 2.10189, 2.29999, 2.50217, 2.70776, 2.91608, 3.0];[0.01, 0.09598, 0.18995, 0.28191, 0.37185, 0.45974, 0.54557, 0.62932, 0.71098, 0.79053, 0.86796, 0.94324, 1.0, 1.0873, 1.15605, 1.22259, 1.28691, 1.34898, 1.40879, 1.46633, 1.52157, 1.5745, 1.62511, 1.645];False
0x000002307FC48B08;char_line;[0.0, 0.00412, 0.0076, 0.01101, 0.01488, 0.0211, 0.02758, 0.0362, 0.04751, 0.06206, 0.08041, 0.10312, 0.13073, 0.1638, 0.20288, 0.24854, 0.30132, 0.37528, 0.45378, 0.54212, 0.64561, 0.76955, 0.91927, 1.0, 1.10006, 1.31723, 1.57609, 1.88195, 2.24011, 2.65589, 3.0];[0.01, 0.04969, 0.10554, 0.16642, 0.2312, 0.29888, 0.36806, 0.43773, 0.50677, 0.57404, 0.6384, 0.69873, 0.75388, 0.80274, 0.84415, 0.87699, 0.90012, 0.92187, 0.94082, 0.95729, 0.97163, 0.98417, 0.99525, 1.0, 1.00521, 1.01439, 1.02312, 1.03175, 1.0406, 1.05002, 1.0575];False
0x000002307FC41988;char_line;[0.0, 0.10449, 0.23774, 0.40054, 0.59243, 0.81296, 1.0, 1.0617, 1.33818, 1.64196, 1.97259, 2.32963, 2.71261, 3.0012];[0.01, 0.21181, 0.40637, 0.58484, 0.74792, 0.89627, 1.0, 1.03058, 1.15152, 1.25977, 1.35602, 1.44093, 1.51519, 1.562];False
0x000002307FC3EE08;char_line;[0.49, 0.55782, 0.62612, 0.69418, 0.76132, 0.82682, 0.89, 0.95016, 1.00659, 1.04326, 1.07753, 1.10916, 1.13795, 1.16365, 1.18604, 1.2049, 1.22];[0.78, 0.82066, 0.86025, 0.89742, 0.93083, 0.95914, 0.981, 0.99507, 1.0, 0.99733, 0.98913, 0.97496, 0.95435, 0.92687, 0.89205, 0.84944, 0.79859];False
0x000002307FC88FC8;char_line;[0.0, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.05, 1.1, 1.15, 1.2, 10.0];[102.56410256410257, 3.2580718730655196, 1.9185204370389555, 1.4988178074543705, 1.3090504475316218, 1.209910375888906, 1.1543511824884927, 1.1215320127293884, 1.1007094072129489, 1.0861389660500111, 1.0744196790708418, 1.0641637535183914, 1.0547521859739055, 1.0459321085468343, 1.0383083879743122, 1.0320396716049764, 1.0274905085564272, 1.0247187787401597, 1.0235938379650955, 1.0241048683385179, 1.0256410256410258, 1.0280054381487678, 1.0311058868412846, 1.035060072298946, 1.040942886066199, 1.0635016856501718];False
0x000002307FC88788;char_line;[0.0, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.05, 1.1, 1.15, 1.2, 10.0];[102.56410256410257, 3.2580718730655196, 1.9185204370389555, 1.4988178074543705, 1.3090504475316218, 1.209910375888906, 1.1543511824884927, 1.1215320127293884, 1.1007094072129489, 1.0861389660500111, 1.0744196790708418, 1.0641637535183914, 1.0547521859739055, 1.0459321085468343, 1.0383083879743122, 1.0320396716049764, 1.0274905085564272, 1.0247187787401597, 1.0235938379650955, 1.0241048683385179, 1.0256410256410258, 1.0280054381487678, 1.0311058868412846, 1.035060072298946, 1.040942886066199, 1.0635016856501718];False
0x000002307FC8D448;char_line;[0.0, 3.0];[-1.0, -1.0];False
0x000002307FC8D048;char_line;[0.0, 3.0];[-1.0, -1.0];False
0x000002307FC8F508;char_line;[0.0, 3.0];[-1.0, -1.0];False
